City,lantitude,longitude,Venue,Venue Category
Philadelphia,40.0094,-75.1333,Martinez Restaurant,Latin American Restaurant
Philadelphia,40.0094,-75.1333,La Barra Bar/Restaurant,Bar
Philadelphia,40.0094,-75.1333,Hua Da Restaurant,Food
Philadelphia,40.0094,-75.1333,Cultura latina Restaurant,Spanish Restaurant
Philadelphia,40.0094,-75.1333,El Aguila Latino Restaurant,Food
San Antonio,29.4724,-98.5251,Julio's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Jacala Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Restaurant Depot,Kitchen Supply Store
San Antonio,29.4724,-98.5251,Plaza's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Los Barrios Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Lisa's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,La Comarca Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Leticia's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Condesa Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Lans Indochine Restaurant,Food
San Antonio,29.4724,-98.5251,Las Primas Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,La Charranga Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,San Miguel Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,el jimador medican restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Blanco's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Garibaldi's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Panda Island Chinese Restaurant,Food
San Antonio,29.4724,-98.5251,La Cazadora Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,La Michoacana Bakery and Restaurant,Bakery
San Antonio,29.4724,-98.5251,Taqueria Jimador Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,El Sol Molino Restaurant,Food
San Antonio,29.4724,-98.5251,Pipo's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,A La Mexicana Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Rene's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Bruno's Restaurant,Food
San Antonio,29.4724,-98.5251,La Canasta Restaurant,Food
San Antonio,29.4724,-98.5251,Las Cazuelas Restaurant,American Restaurant
San Antonio,29.4724,-98.5251,Jim's Restaurants,Diner
San Antonio,29.4724,-98.5251,La Siberia,Mexican Restaurant
San Antonio,29.4724,-98.5251,Yaya's Thai Restaurant,Thai Restaurant
San Antonio,29.4724,-98.5251,Thai Dee Restaurant,Thai Restaurant
San Antonio,29.4724,-98.5251,Chonita's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,San Antonio Restaurant Association,Building
San Antonio,29.4724,-98.5251,Linda's #2 Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Sabor Latino Restaurant,Latin American Restaurant
San Antonio,29.4724,-98.5251,Selenas Mexican Restaurant,Food
San Antonio,29.4724,-98.5251,Rancho Grande Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,La Poblanita Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Marios Tacos And Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Volare Italian Restaurant,Italian Restaurant
San Antonio,29.4724,-98.5251,Dona Maria Restaurant,Food
San Antonio,29.4724,-98.5251,Mi Ranchito Mexican  Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,La Playa Seafood,Seafood Restaurant
San Antonio,29.4724,-98.5251,Victoria's Mexican Restaurant,American Restaurant
San Antonio,29.4724,-98.5251,Las Asusenas Mexican Restaurant,Food
San Antonio,29.4724,-98.5251,South Garden,Chinese Restaurant
San Antonio,29.4724,-98.5251,Pineda's Mexican Restaurant,Mexican Restaurant
San Antonio,29.4724,-98.5251,Trebol Mexican Restaurant,American Restaurant
San Antonio,29.4724,-98.5251,Panchito's,Mexican Restaurant
San Antonio,29.4724,-98.5251,Mi Guadalajara,Mexican Restaurant
San Diego,32.8153,-117.135,Emerald Chinese Seafood Restaurant,Chinese Restaurant
San Diego,32.8153,-117.135,Jasmine Seafood Restaurant,Dim Sum Restaurant
San Diego,32.8153,-117.135,D'Amato Pizza & Italian Restaurant,Italian Restaurant
San Diego,32.8153,-117.135,Islands Restaurant,American Restaurant
San Diego,32.8153,-117.135,Margarita Grill Restaurant and Cantina,Food
San Diego,32.8153,-117.135,Filippi's Pizza Restaurant and Bar,Italian Restaurant
San Diego,32.8153,-117.135,Ichiro Japanese Restaurant,Japanese Restaurant
San Diego,32.8153,-117.135,International Seafood Restaurant,Vietnamese Restaurant
San Diego,32.8153,-117.135,Hinotez Japanese Restaurant,Japanese Restaurant
San Diego,32.8153,-117.135,Boll Weevil Restaurants,Burger Joint
San Diego,32.8153,-117.135,Golden City Restaurant,Chinese Restaurant
San Diego,32.8153,-117.135,Go Ba Woo Restaurant,Food
San Diego,32.8153,-117.135,Dependable Restaurant Equipment Repairs,Other Repair Shop
San Diego,32.8153,-117.135,Takeya Japanese Restaurant,Food
San Diego,32.8153,-117.135,Quoc Te International Restaurant,Asian Restaurant
San Diego,32.8153,-117.135,Zuupo Restaurant Delivery,Sushi Restaurant
San Diego,32.8153,-117.135,Arirang House Restaurant,Korean Restaurant
San Diego,32.8153,-117.135,Luong Hai Ky Restaurant,Asian Restaurant
San Diego,32.8153,-117.135,Angelo's Italian Restaurant and Bar,Pizza Place
San Diego,32.8153,-117.135,Korean Hometown Restaurant,Korean Restaurant
San Diego,32.8153,-117.135,FuAn Garden Restaurant,Chinese Restaurant
San Diego,32.8153,-117.135,House Of Orchid Korean & Japanese restaurant,Korean Restaurant
San Diego,32.8153,-117.135,Tajima,Japanese Restaurant
San Diego,32.8153,-117.135,Gorilla Restaurant,Korean Restaurant
San Diego,32.8153,-117.135,Pho Tau Bay Restaurant,Vietnamese Restaurant
San Diego,32.8153,-117.135,Hoacali Restaurant,Food
San Diego,32.8153,-117.135,Koon Thai Kitchen,Thai Restaurant
San Diego,32.8153,-117.135,94th Aero Squadron,American Restaurant
San Diego,32.8153,-117.135,Rafaela's,Italian Restaurant
San Diego,32.8153,-117.135,Thai Garden,Thai Restaurant
San Diego,32.8153,-117.135,Phuong Trang Vietnamese,Vietnamese Restaurant
San Diego,32.8153,-117.135,The Godfather Restaurant,Italian Restaurant
San Diego,32.8153,-117.135,Wings N Things,Wings Joint
San Diego,32.8153,-117.135,Spicy City,Chinese Restaurant
San Diego,32.8153,-117.135,Shogun Kobe,Sushi Restaurant
San Diego,32.8153,-117.135,Imperial Mandarin,Chinese Restaurant
San Diego,32.8153,-117.135,Tajima Ramen House,Noodle House
San Diego,32.8153,-117.135,Ristorante Kaz,Italian Restaurant
San Diego,32.8153,-117.135,Fong Fong Chinese Cafe,Food
San Diego,32.8153,-117.135,Rubio's Coastal Grill,Mexican Restaurant
San Diego,32.8153,-117.135,Luong Hai Ky,Asian Restaurant
San Diego,32.8153,-117.135,Gorilla Korean Fusion,Korean Restaurant
San Diego,32.8153,-117.135,Palomino's Mexican and Seafood,Mexican Restaurant
San Diego,32.8153,-117.135,China Max,Chinese Restaurant
San Diego,32.8153,-117.135,Sam Woo BBQ,Chinese Restaurant
San Diego,32.8153,-117.135,Friends korean BB,Korean Restaurant
San Diego,32.8153,-117.135,Flavor Thai,Thai Restaurant
San Diego,32.8153,-117.135,Palomino's Mexican and Seafood,Mexican Restaurant
San Diego,32.8153,-117.135,Nam An Vietnamese Cuisine,Vietnamese Restaurant
Dallas,32.7933,-96.7665,Vietnam Restaurant Bar & Grill,Vietnamese Restaurant
Dallas,32.7933,-96.7665,Kalachandji's Restaurant & Palace,Vegetarian / Vegan Restaurant
Dallas,32.7933,-96.7665,Mai's Vietnamese Restaurant,Vietnamese Restaurant
Dallas,32.7933,-96.7665,Eggroll Hut Restaurant,Chinese Restaurant
Dallas,32.7933,-96.7665,Monterrey Mexican Restaurant,Mexican Restaurant
